Item:001, Neighbor: 02177 | Distance: 2064 | Duration: 0.0142692
Item:002, Neighbor: 02782 | Distance: 2045 | Duration: 0.0143258
Item:003, Neighbor: 09973 | Distance: 1619 | Duration: 0.0148302
Item:004, Neighbor: 09844 | Distance: 1593 | Duration: 0.0142898
Item:005, Neighbor: 05165 | Distance: 1680 | Duration: 0.014507
Item:006, Neighbor: 01240 | Distance: 2180 | Duration: 0.0139498
Item:007, Neighbor: 02775 | Distance: 1946 | Duration: 0.0139813
Item:008, Neighbor: 05869 | Distance: 1149 | Duration: 0.0145262
Item:009, Neighbor: 09629 | Distance: 1791 | Duration: 0.0140046
Item:010, Neighbor: 04720 | Distance: 1834 | Duration: 0.0144287
Item:011, Neighbor: 00694 | Distance: 2067 | Duration: 0.0141284
Item:012, Neighbor: 04698 | Distance: 1280 | Duration: 0.0145937
Item:013, Neighbor: 00507 | Distance: 1811 | Duration: 0.0145351
Item:014, Neighbor: 09816 | Distance: 1829 | Duration: 0.014399
Item:015, Neighbor: 00798 | Distance: 2136 | Duration: 0.0139898
Item:016, Neighbor: 00410 | Distance: 1973 | Duration: 0.0141853
Item:017, Neighbor: 00471 | Distance: 1963 | Duration: 0.0138523
Item:018, Neighbor: 04097 | Distance: 1987 | Duration: 0.013928
Item:019, Neighbor: 00904 | Distance: 1964 | Duration: 0.013962
Item:020, Neighbor: 09807 | Distance: 1754 | Duration: 0.0141359
Item:021, Neighbor: 07028 | Distance: 1239 | Duration: 0.0148933
Item:022, Neighbor: 04491 | Distance: 0486 | Duration: 0.0147972
Item:023, Neighbor: 04958 | Distance: 1159 | Duration: 0.0144609
Item:024, Neighbor: 04673 | Distance: 1520 | Duration: 0.0145698
Item:025, Neighbor: 04631 | Distance: 1068 | Duration: 0.0141094
Item:026, Neighbor: 06423 | Distance: 1919 | Duration: 0.0148127
Item:027, Neighbor: 06828 | Distance: 1251 | Duration: 0.0144348
Item:028, Neighbor: 05964 | Distance: 1166 | Duration: 0.0142561
Item:029, Neighbor: 06828 | Distance: 1504 | Duration: 0.0144101
Item:030, Neighbor: 05454 | Distance: 0734 | Duration: 0.0147616
Item:031, Neighbor: 04778 | Distance: 1819 | Duration: 0.0145059
Item:032, Neighbor: 05560 | Distance: 0741 | Duration: 0.0145777
Item:033, Neighbor: 05301 | Distance: 1210 | Duration: 0.0148722
Item:034, Neighbor: 08151 | Distance: 2368 | Duration: 0.0146196
Item:035, Neighbor: 07059 | Distance: 1951 | Duration: 0.0142746
Item:036, Neighbor: 05842 | Distance: 0969 | Duration: 0.0143229
Item:037, Neighbor: 05843 | Distance: 0865 | Duration: 0.0140092
Item:038, Neighbor: 05185 | Distance: 1241 | Duration: 0.0142268
Item:039, Neighbor: 05501 | Distance: 0995 | Duration: 0.0142132
Item:040, Neighbor: 05075 | Distance: 1200 | Duration: 0.0147868
Item:041, Neighbor: 08308 | Distance: 1106 | Duration: 0.0143473
Item:042, Neighbor: 04644 | Distance: 1442 | Duration: 0.0144737
Item:043, Neighbor: 05225 | Distance: 1629 | Duration: 0.0146052
Item:044, Neighbor: 06303 | Distance: 1275 | Duration: 0.0141795
Item:045, Neighbor: 08616 | Distance: 1483 | Duration: 0.0148553
Item:046, Neighbor: 07877 | Distance: 1628 | Duration: 0.014909
Item:047, Neighbor: 05881 | Distance: 0646 | Duration: 0.0147948
Item:048, Neighbor: 05642 | Distance: 2446 | Duration: 0.0140829
Item:049, Neighbor: 05214 | Distance: 0968 | Duration: 0.0148929
Item:050, Neighbor: 05085 | Distance: 0849 | Duration: 0.0148525
Item:051, Neighbor: 05013 | Distance: 1130 | Duration: 0.0145858
Item:052, Neighbor: 06124 | Distance: 0848 | Duration: 0.0141592
Item:053, Neighbor: 05674 | Distance: 1188 | Duration: 0.0142372
Item:054, Neighbor: 08613 | Distance: 1219 | Duration: 0.0147905
Item:055, Neighbor: 06159 | Distance: 0979 | Duration: 0.0145198
Item:056, Neighbor: 05831 | Distance: 1042 | Duration: 0.0146129
Item:057, Neighbor: 04904 | Distance: 1436 | Duration: 0.0137904
Item:058, Neighbor: 05212 | Distance: 1176 | Duration: 0.0142802
Item:059, Neighbor: 07238 | Distance: 0460 | Duration: 0.0143652
Item:060, Neighbor: 06835 | Distance: 0619 | Duration: 0.0146031
Item:061, Neighbor: 05279 | Distance: 1209 | Duration: 0.0144538
Item:062, Neighbor: 08403 | Distance: 0732 | Duration: 0.0149077
Item:063, Neighbor: 06561 | Distance: 0832 | Duration: 0.0145685
Item:064, Neighbor: 06322 | Distance: 0627 | Duration: 0.0143685
Item:065, Neighbor: 05636 | Distance: 0980 | Duration: 0.0142802
Item:066, Neighbor: 06406 | Distance: 1085 | Duration: 0.0142798
Item:067, Neighbor: 05391 | Distance: 1189 | Duration: 0.0143596
Item:068, Neighbor: 06858 | Distance: 1205 | Duration: 0.0146604
Item:069, Neighbor: 07218 | Distance: 1251 | Duration: 0.0144952
Item:070, Neighbor: 05878 | Distance: 1943 | Duration: 0.0141318
Item:071, Neighbor: 06125 | Distance: 0280 | Duration: 0.0146443
Item:072, Neighbor: 05827 | Distance: 1254 | Duration: 0.0145
Item:073, Neighbor: 00934 | Distance: 2210 | Duration: 0.0142215
Item:074, Neighbor: 06854 | Distance: 1573 | Duration: 0.0142149
Item:075, Neighbor: 07365 | Distance: 0986 | Duration: 0.0140386
Item:076, Neighbor: 06554 | Distance: 1416 | Duration: 0.0140288
Item:077, Neighbor: 07904 | Distance: 1648 | Duration: 0.0143958
Item:078, Neighbor: 08579 | Distance: 2177 | Duration: 0.0139637
Item:079, Neighbor: 09209 | Distance: 1551 | Duration: 0.0149054
Item:080, Neighbor: 08070 | Distance: 0743 | Duration: 0.0151944
Item:081, Neighbor: 07452 | Distance: 0987 | Duration: 0.0147102
Item:082, Neighbor: 03087 | Distance: 1969 | Duration: 0.0145143
Item:083, Neighbor: 00091 | Distance: 2001 | Duration: 0.014628
Item:084, Neighbor: 06006 | Distance: 1161 | Duration: 0.0147902
Item:085, Neighbor: 08895 | Distance: 1359 | Duration: 0.0142912
Item:086, Neighbor: 08726 | Distance: 1753 | Duration: 0.0150054
Item:087, Neighbor: 09152 | Distance: 1673 | Duration: 0.0142236
Item:088, Neighbor: 07723 | Distance: 0683 | Duration: 0.0149274
Item:089, Neighbor: 07099 | Distance: 0399 | Duration: 0.0152486
Item:090, Neighbor: 07628 | Distance: 0690 | Duration: 0.0150616
Item:091, Neighbor: 09259 | Distance: 0310 | Duration: 0.0146198
Item:092, Neighbor: 08897 | Distance: 1916 | Duration: 0.0144563
Item:093, Neighbor: 08357 | Distance: 0954 | Duration: 0.0146299
Item:094, Neighbor: 08979 | Distance: 1433 | Duration: 0.014254
Item:095, Neighbor: 08420 | Distance: 0977 | Duration: 0.0149192
Item:096, Neighbor: 01186 | Distance: 2188 | Duration: 0.013904
Item:097, Neighbor: 07513 | Distance: 2146 | Duration: 0.0139501
Item:098, Neighbor: 08826 | Distance: 1515 | Duration: 0.0139789
