Item:01, Neighbor: 0011 | Distance: 43.4877 | Duration: 11.5645
Item:02, Neighbor: 0008 | Distance: 033.994 | Duration: 9.94151
Item:03, Neighbor: 0002 | Distance: 6.19995 | Duration: 0.117447
Item:04, Neighbor: 0003 | Distance: 21.9272 | Duration: 8.29132
Item:05, Neighbor: 0008 | Distance: 32.2243 | Duration: 10.0524
Item:06, Neighbor: 0004 | Distance: 22.0984 | Duration: 7.05404
Item:07, Neighbor: 0004 | Distance: 20.6634 | Duration: 7.29456
Item:08, Neighbor: 0009 | Distance: 1.59802 | Duration: 0.12046
Item:09, Neighbor: 0018 | Distance: 37.7181 | Duration: 11.6816
Item:10, Neighbor: 0001 | Distance: 27.3494 | Duration: 8.181
Item:11, Neighbor: 0012 | Distance: 13.9817 | Duration: 2.32463
Item:12, Neighbor: 0009 | Distance: 0000003 | Duration: 0.0587262
Item:13, Neighbor: 0023 | Distance: 23.4301 | Duration: 7.39824
Item:14, Neighbor: 0026 | Distance: 20.1859 | Duration: 4.43958
Item:15, Neighbor: 0012 | Distance: 14.4249 | Duration: 3.30119
Item:16, Neighbor: 0012 | Distance: 11.5268 | Duration: 3.06388
Item:17, Neighbor: 0016 | Distance: 1.49887 | Duration: 0.117471
Item:18, Neighbor: 0031 | Distance: 18.1502 | Duration: 3.66358
Item:19, Neighbor: 0016 | Distance: 3.25195 | Duration: 0.117434
Item:20, Neighbor: 0020 | Distance: 10.0954 | Duration: 6.09053
Item:21, Neighbor: 0019 | Distance: 3.40397 | Duration: 0.586844
