Item: 1, Neighbor: 25 | Distance: 3096
Item: 2, Neighbor: 25 | Distance: 3230
Item: 3, Neighbor: 61 | Distance: 2413
Item: 4, Neighbor: 25 | Distance: 2948
Item: 5, Neighbor: 33 | Distance: 2714
Item: 6, Neighbor: 138 | Distance: 3215
Item: 7, Neighbor: 27 | Distance: 2940
Item: 8, Neighbor: 47 | Distance: 1957
Item: 9, Neighbor: 1 | Distance: 2408
Item: 10, Neighbor: 52 | Distance: 2526
Item: 11, Neighbor: 37 | Distance: 3261
Item: 12, Neighbor: 5 | Distance: 2182
Item: 13, Neighbor: 47 | Distance: 2784
Item: 14, Neighbor: 121 | Distance: 2341
Item: 15, Neighbor: 64 | Distance: 2978
Item: 16, Neighbor: 1 | Distance: 2352
Item: 17, Neighbor: 25 | Distance: 2406
Item: 18, Neighbor: 43 | Distance: 2826
Item: 19, Neighbor: 18 | Distance: 3001
Item: 20, Neighbor: 27 | Distance: 2669
Item: 21, Neighbor: 16 | Distance: 2410
Item: 22, Neighbor: 58 | Distance: 1916
Item: 23, Neighbor: 63 | Distance: 1803
Item: 24, Neighbor: 71 | Distance: 2496
Item: 25, Neighbor: 58 | Distance: 2084
Item: 26, Neighbor: 33 | Distance: 2502
Item: 27, Neighbor: 10 | Distance: 2370
Item: 28, Neighbor: 61 | Distance: 1925
Item: 29, Neighbor: 62 | Distance: 2095
Item: 30, Neighbor: 72 | Distance: 2472
Item: 31, Neighbor: 117 | Distance: 2046
Item: 32, Neighbor: 51 | Distance: 2939
Item: 33, Neighbor: 61 | Distance: 2336
Item: 34, Neighbor: 38 | Distance: 3032
Item: 35, Neighbor: 22 | Distance: 2300
Item: 36, Neighbor: 95 | Distance: 2732
Item: 37, Neighbor: 26 | Distance: 2779
Item: 38, Neighbor: 69 | Distance: 3474
Item: 39, Neighbor: 72 | Distance: 3335
Item: 40, Neighbor: 14 | Distance: 1854
Item: 41, Neighbor: 24 | Distance: 2502
Item: 42, Neighbor: 48 | Distance: 2120
Item: 43, Neighbor: 117 | Distance: 2488
Item: 44, Neighbor: 61 | Distance: 2343
Item: 45, Neighbor: 35 | Distance: 2590
Item: 46, Neighbor: 62 | Distance: 2480
Item: 47, Neighbor: 68 | Distance: 2081
Item: 48, Neighbor: 41 | Distance: 3613
Item: 49, Neighbor: 32 | Distance: 3025
Item: 50, Neighbor: 32 | Distance: 1804
Item: 51, Neighbor: 61 | Distance: 2748
Item: 52, Neighbor: 4 | Distance: 2758
Item: 53, Neighbor: 16 | Distance: 1759
Item: 54, Neighbor: 71 | Distance: 2475
Item: 55, Neighbor: 48 | Distance: 1880
Item: 56, Neighbor: 36 | Distance: 2764
Item: 57, Neighbor: 63 | Distance: 1828
Item: 58, Neighbor: 121 | Distance: 2160
Item: 59, Neighbor: 72 | Distance: 2892
Item: 60, Neighbor: 151 | Distance: 2723
Item: 61, Neighbor: 61 | Distance: 2462
Item: 62, Neighbor: 62 | Distance: 3056
Item: 63, Neighbor: 18 | Distance: 2797
Item: 64, Neighbor: 63 | Distance: 2754
Item: 65, Neighbor: 70 | Distance: 3018
Item: 66, Neighbor: 36 | Distance: 2588
Item: 67, Neighbor: 14 | Distance: 3088
Item: 68, Neighbor: 36 | Distance: 2147
Item: 69, Neighbor: 71 | Distance: 2124
Item: 70, Neighbor: 62 | Distance: 2586
Item: 71, Neighbor: 22 | Distance: 2933
Item: 72, Neighbor: 144 | Distance: 3275
Item: 73, Neighbor: 52 | Distance: 2647
Item: 74, Neighbor: 6 | Distance: 3426
Item: 75, Neighbor: 54 | Distance: 2493
Item: 76, Neighbor: 21 | Distance: 3027
Item: 77, Neighbor: 42 | Distance: 2376
Item: 78, Neighbor: 144 | Distance: 3277
Item: 79, Neighbor: 54 | Distance: 2497
Item: 80, Neighbor: 68 | Distance: 1938
Item: 81, Neighbor: 69 | Distance: 2386
Item: 82, Neighbor: 2 | Distance: 2778
Item: 83, Neighbor: 51 | Distance: 2709
Item: 84, Neighbor: 13 | Distance: 2129
Item: 85, Neighbor: 54 | Distance: 2630
Item: 86, Neighbor: 48 | Distance: 3820
Item: 87, Neighbor: 36 | Distance: 2687
Item: 88, Neighbor: 48 | Distance: 3236
Item: 89, Neighbor: 36 | Distance: 2530
Item: 90, Neighbor: 151 | Distance: 2883
Item: 91, Neighbor: 33 | Distance: 1528
Item: 92, Neighbor: 20 | Distance: 3339
Item: 93, Neighbor: 2 | Distance: 3065
Item: 94, Neighbor: 63 | Distance: 2496
Item: 95, Neighbor: 199 | Distance: 3251
Item: 96, Neighbor: 49 | Distance: 3656
Item: 97, Neighbor: 61 | Distance: 2931
Item: 98, Neighbor: 70 | Distance: 2641
Item: 99, Neighbor: 13 | Distance: 2461
Item: 100, Neighbor: 14 | Distance: 2909
