Item: 1, Neighbor: 219 | Distance: 3334
Item: 2, Neighbor: 1152 | Distance: 2469
Item: 3, Neighbor: 444 | Distance: 2617
Item: 4, Neighbor: 1695 | Distance: 3002
Item: 5, Neighbor: 379 | Distance: 2721
Item: 6, Neighbor: 805 | Distance: 2251
Item: 7, Neighbor: 642 | Distance: 2376
Item: 8, Neighbor: 2750 | Distance: 3104
Item: 9, Neighbor: 105 | Distance: 2357
Item: 10, Neighbor: 159 | Distance: 2128
Item: 11, Neighbor: 494 | Distance: 2560
Item: 12, Neighbor: 116 | Distance: 2122
Item: 13, Neighbor: 3682 | Distance: 2962
Item: 14, Neighbor: 198 | Distance: 2471
Item: 15, Neighbor: 553 | Distance: 2564
Item: 16, Neighbor: 1648 | Distance: 2618
Item: 17, Neighbor: 107 | Distance: 2262
Item: 18, Neighbor: 107 | Distance: 2335
Item: 19, Neighbor: 1119 | Distance: 2319
Item: 20, Neighbor: 7370 | Distance: 3362
Item: 21, Neighbor: 765 | Distance: 2545
Item: 22, Neighbor: 113 | Distance: 2088
Item: 23, Neighbor: 60 | Distance: 1593
Item: 24, Neighbor: 5 | Distance: 2528
Item: 25, Neighbor: 1957 | Distance: 2430
Item: 26, Neighbor: 2553 | Distance: 2887
Item: 27, Neighbor: 321 | Distance: 3027
Item: 28, Neighbor: 57 | Distance: 1859
Item: 29, Neighbor: 586 | Distance: 2403
Item: 30, Neighbor: 1003 | Distance: 2335
Item: 31, Neighbor: 4359 | Distance: 2729
Item: 32, Neighbor: 62 | Distance: 2351
Item: 33, Neighbor: 33 | Distance: 2204
Item: 34, Neighbor: 4448 | Distance: 3503
Item: 35, Neighbor: 119 | Distance: 2652
Item: 36, Neighbor: 261 | Distance: 3666
Item: 37, Neighbor: 1071 | Distance: 2875
Item: 38, Neighbor: 233 | Distance: 3206
Item: 39, Neighbor: 246 | Distance: 3105
Item: 40, Neighbor: 7260 | Distance: 2981
Item: 41, Neighbor: 290 | Distance: 3338
Item: 42, Neighbor: 3041 | Distance: 1910
Item: 43, Neighbor: 8493 | Distance: 3364
Item: 44, Neighbor: 78 | Distance: 2863
Item: 45, Neighbor: 45 | Distance: 2275
Item: 46, Neighbor: 2046 | Distance: 3963
Item: 47, Neighbor: 99 | Distance: 1965
Item: 48, Neighbor: 7955 | Distance: 3670
Item: 49, Neighbor: 119 | Distance: 3112
Item: 50, Neighbor: 119 | Distance: 2003
Item: 51, Neighbor: 1746 | Distance: 3209
Item: 52, Neighbor: 767 | Distance: 2837
Item: 53, Neighbor: 16 | Distance: 1759
Item: 54, Neighbor: 8714 | Distance: 2692
Item: 55, Neighbor: 1919 | Distance: 3152
Item: 56, Neighbor: 817 | Distance: 2671
Item: 57, Neighbor: 119 | Distance: 1972
Item: 58, Neighbor: 2808 | Distance: 3308
Item: 59, Neighbor: 427 | Distance: 2981
Item: 60, Neighbor: 149 | Distance: 2170
Item: 61, Neighbor: 605 | Distance: 2420
Item: 62, Neighbor: 62 | Distance: 3056
Item: 63, Neighbor: 63 | Distance: 3371
Item: 64, Neighbor: 2077 | Distance: 3172
Item: 65, Neighbor: 2800 | Distance: 2349
Item: 66, Neighbor: 1495 | Distance: 3085
Item: 67, Neighbor: 60 | Distance: 3315
Item: 68, Neighbor: 39 | Distance: 2176
Item: 69, Neighbor: 119 | Distance: 2592
Item: 70, Neighbor: 873 | Distance: 2547
Item: 71, Neighbor: 206 | Distance: 3016
Item: 72, Neighbor: 7753 | Distance: 3170
Item: 73, Neighbor: 7721 | Distance: 3010
Item: 74, Neighbor: 894 | Distance: 2924
Item: 75, Neighbor: 1525 | Distance: 2055
Item: 76, Neighbor: 4278 | Distance: 3026
Item: 77, Neighbor: 69 | Distance: 2475
Item: 78, Neighbor: 28 | Distance: 3354
Item: 79, Neighbor: 79 | Distance: 2047
Item: 80, Neighbor: 507 | Distance: 3140
Item: 81, Neighbor: 39 | Distance: 2408
Item: 82, Neighbor: 7512 | Distance: 2972
Item: 83, Neighbor: 967 | Distance: 2408
Item: 84, Neighbor: 5216 | Distance: 2400
Item: 85, Neighbor: 7861 | Distance: 4393
Item: 86, Neighbor: 67 | Distance: 3855
Item: 87, Neighbor: 152 | Distance: 3343
Item: 88, Neighbor: 50 | Distance: 3214
Item: 89, Neighbor: 791 | Distance: 3711
Item: 90, Neighbor: 951 | Distance: 4454
Item: 91, Neighbor: 91 | Distance: 2451
Item: 92, Neighbor: 5118 | Distance: 3115
Item: 93, Neighbor: 589 | Distance: 3081
Item: 94, Neighbor: 2032 | Distance: 3023
Item: 95, Neighbor: 334 | Distance: 3652
Item: 96, Neighbor: 128 | Distance: 3382
Item: 97, Neighbor: 3271 | Distance: 3762
Item: 98, Neighbor: 6757 | Distance: 2984
Item: 99, Neighbor: 246 | Distance: 3514
Item: 100, Neighbor: 1637 | Distance: 3124
